max_drawdown,net_profit,number_of_trades,win_rate,expectancy,gross_profit,gross_loss,profit_factor,recovery_factor,longest_losing_streak,simulation_id
176.0,405.0,135,0.3333333333333333,3.0,2115.0,1710.0,1.236842105263158,2.3011363636363638,8,47
499.0,-160.0,135,0.24444444444444444,-1.1851851851851851,1778.0,1938.0,0.9174406604747162,-0.32064128256513025,17,48
338.0,-140.0,135,0.25925925925925924,-1.037037037037037,1760.0,1900.0,0.9263157894736842,-0.41420118343195267,9,49
270.0,325.0,135,0.2962962962962963,2.4074074074074074,2130.0,1805.0,1.18005540166205,1.2037037037037037,8,50
929.0,-495.0,135,0.21481481481481482,-3.6666666666666665,1519.0,2014.0,0.7542204568023834,-0.5328310010764262,17,51
372.0,565.0,135,0.31851851851851853,4.185185185185185,2313.0,1748.0,1.3232265446224256,1.5188172043010753,9,52
349.0,75.0,135,0.2814814814814815,0.5555555555555556,1918.0,1843.0,1.0406945198046662,0.2148997134670487,11,53
520.0,255.0,135,0.28888888888888886,1.8888888888888888,2079.0,1824.0,1.1398026315789473,0.49038461538461536,11,54
304.0,95.0,135,0.3111111111111111,0.7037037037037037,1862.0,1767.0,1.053763440860215,0.3125,8,55
504.0,-145.0,135,0.23703703703703705,-1.0740740740740742,1812.0,1957.0,0.9259070005109862,-0.2876984126984127,17,56
224.0,605.0,135,0.3333333333333333,4.481481481481482,2315.0,1710.0,1.3538011695906433,2.700892857142857,9,57
386.0,-205.0,135,0.2518518518518518,-1.5185185185185186,1714.0,1919.0,0.8931735278791036,-0.5310880829015544,10,58
237.0,245.0,135,0.2962962962962963,1.8148148148148149,2050.0,1805.0,1.1357340720221607,1.0337552742616034,10,59
366.0,340.0,135,0.3333333333333333,2.5185185185185186,2050.0,1710.0,1.1988304093567252,0.9289617486338798,10,60
317.0,155.0,135,0.28888888888888886,1.1481481481481481,1979.0,1824.0,1.0849780701754386,0.4889589905362776,9,61
485.0,-150.0,135,0.2518518518518518,-1.1111111111111112,1769.0,1919.0,0.9218342886920271,-0.30927835051546393,16,62
538.0,-90.0,135,0.25925925925925924,-0.6666666666666666,1810.0,1900.0,0.9526315789473684,-0.16728624535315986,20,63
485.0,-395.0,135,0.2518518518518518,-2.925925925925926,1524.0,1919.0,0.7941636268890047,-0.8144329896907216,13,64
323.0,485.0,135,0.3037037037037037,3.5925925925925926,2271.0,1786.0,1.2715565509518476,1.501547987616099,17,65
302.0,820.0,135,0.34814814814814815,6.074074074074074,2492.0,1672.0,1.4904306220095693,2.7152317880794703,7,66
600.0,-480.0,135,0.22962962962962963,-3.5555555555555554,1496.0,1976.0,0.757085020242915,-0.8,18,67
511.0,-210.0,135,0.23703703703703705,-1.5555555555555556,1747.0,1957.0,0.8926928972917731,-0.410958904109589,12,68
361.0,-75.0,135,0.2740740740740741,-0.5555555555555556,1787.0,1862.0,0.9597207303974221,-0.2077562326869806,8,69
815.0,-305.0,135,0.2518518518518518,-2.259259259259259,1614.0,1919.0,0.8410630536737884,-0.37423312883435583,24,70
490.0,-395.0,135,0.23703703703703705,-2.925925925925926,1562.0,1957.0,0.7981604496678589,-0.8061224489795918,15,71
388.0,395.0,135,0.32592592592592595,2.925925925925926,2124.0,1729.0,1.2284557547715442,1.018041237113402,10,72
711.0,-630.0,135,0.23703703703703705,-4.666666666666667,1327.0,1957.0,0.6780786918753193,-0.8860759493670886,12,73
740.0,-470.0,135,0.21481481481481482,-3.4814814814814814,1544.0,2014.0,0.7666335650446872,-0.6351351351351351,11,74
660.0,-305.0,135,0.2518518518518518,-2.259259259259259,1614.0,1919.0,0.8410630536737884,-0.4621212121212121,16,75
700.0,-280.0,135,0.23703703703703705,-2.074074074074074,1677.0,1957.0,0.8569238630556975,-0.4,13,76
241.0,835.0,135,0.31851851851851853,6.185185185185185,2583.0,1748.0,1.4776887871853548,3.4647302904564317,11,77
238.0,110.0,135,0.28888888888888886,0.8148148148148148,1934.0,1824.0,1.0603070175438596,0.46218487394957986,8,78
543.0,145.0,135,0.25925925925925924,1.0740740740740742,2045.0,1900.0,1.0763157894736841,0.26703499079189685,12,79
228.0,660.0,135,0.31851851851851853,4.888888888888889,2408.0,1748.0,1.3775743707093822,2.8947368421052633,12,80
431.0,-185.0,135,0.24444444444444444,-1.3703703703703705,1753.0,1938.0,0.9045407636738906,-0.42923433874709976,12,81
664.0,-415.0,135,0.21481481481481482,-3.074074074074074,1599.0,2014.0,0.7939424031777557,-0.625,14,82
241.0,710.0,135,0.3333333333333333,5.2592592592592595,2420.0,1710.0,1.4152046783625731,2.9460580912863072,8,83
259.0,1025.0,135,0.3925925925925926,7.592592592592593,2583.0,1558.0,1.6578947368421053,3.9575289575289574,11,84
638.0,-180.0,135,0.2740740740740741,-1.3333333333333333,1682.0,1862.0,0.9033297529538131,-0.28213166144200624,13,85
713.0,-265.0,135,0.21481481481481482,-1.962962962962963,1749.0,2014.0,0.868421052631579,-0.37166900420757365,18,86
636.0,-525.0,135,0.2222222222222222,-3.888888888888889,1470.0,1995.0,0.7368421052631579,-0.8254716981132075,16,87
716.0,-565.0,135,0.1925925925925926,-4.185185185185185,1506.0,2071.0,0.7271849348140995,-0.7891061452513967,16,88
403.0,-195.0,135,0.2518518518518518,-1.4444444444444444,1724.0,1919.0,0.8983845752996352,-0.4838709677419355,9,89
346.0,50.0,135,0.2814814814814815,0.37037037037037035,1893.0,1843.0,1.0271296798697775,0.14450867052023122,13,90
440.0,335.0,135,0.3111111111111111,2.4814814814814814,2102.0,1767.0,1.1895868704018109,0.7613636363636364,20,91
608.0,-500.0,135,0.2222222222222222,-3.7037037037037037,1495.0,1995.0,0.7493734335839599,-0.8223684210526315,13,92
952.0,-930.0,135,0.1925925925925926,-6.888888888888889,1141.0,2071.0,0.5509415741187832,-0.976890756302521,11,93
267.0,210.0,135,0.2962962962962963,1.5555555555555556,2015.0,1805.0,1.1163434903047091,0.7865168539325843,10,94
534.0,-335.0,135,0.2518518518518518,-2.4814814814814814,1584.0,1919.0,0.8254299114121939,-0.6273408239700374,12,95
291.0,100.0,135,0.26666666666666666,0.7407407407407407,1981.0,1881.0,1.0531632110579479,0.3436426116838488,12,96
