dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,86986,86986,125287,80,15,3440,3.0,4,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,80,15,3440,3.0,4,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,81,15,1508,3.0,3,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,81,15,1508,3.0,3,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,82,15,1508,3.25,7,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,82,15,1508,3.25,7,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,83,15,3543,3.0,7,16,3,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,83,15,3543,3.0,7,16,3,324.0,8,108.0,228.0,120.0,1.9,96.0,0.375,13.5,24.0,4
train,1,0,86986,86986,125287,84,15,3233,3.25,5,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,84,15,3233,3.25,5,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,85,15,1261,3.25,5,16,3,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,85,15,1261,3.25,5,16,3,-60.0,5,-20.0,76.0,96.0,0.7916666666666666,96.0,0.2,-4.0,24.0,4
train,1,0,86986,86986,125287,86,15,3543,3.25,7,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,86,15,3543,3.25,7,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
