generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
28,2,22406,86986,86986,125287,560.0285706997457,527.6382411951778,560.0285706997457,117.57550765359254,101.6599671337532,442.4530630461532,23,rolling,losing_streak_fitness,2_days,rep_1
29,2,22406,86986,86986,125287,560.0285706997457,531.9712333731458,560.0285706997457,117.57550765359254,99.74450625844835,442.4530630461532,24,rolling,losing_streak_fitness,2_days,rep_1
30,2,22406,86986,86986,125287,560.0285706997457,541.5439881752195,560.0285706997457,105.65509926170152,81.20631768276247,454.37347143804425,25,rolling,losing_streak_fitness,2_days,rep_1
31,2,22406,86986,86986,125287,560.0285706997457,537.5058109094193,560.0285706997457,117.57550765359254,84.02740196758344,442.4530630461532,26,rolling,losing_streak_fitness,2_days,rep_1
32,2,22406,86986,86986,125287,560.0285706997457,541.1627478132726,560.0285706997457,117.57550765359254,75.52764146617253,442.4530630461532,27,rolling,losing_streak_fitness,2_days,rep_1
33,2,22406,86986,86986,125287,560.0285706997457,527.7961131253763,560.0285706997457,117.57550765359254,104.70921963471118,442.4530630461532,28,rolling,losing_streak_fitness,2_days,rep_1
34,2,22406,86986,86986,125287,560.0285706997457,538.5149169155732,560.0285706997457,78.57480512225277,88.20078253514279,481.45376557749296,29,rolling,losing_streak_fitness,2_days,rep_1
35,2,22406,86986,86986,125287,560.0285706997457,509.4766417503722,560.0285706997457,4.848732213850611,131.4821457818429,555.1798384858951,30,rolling,losing_streak_fitness,2_days,rep_1
36,2,22406,86986,86986,125287,560.0285706997457,532.3228598008806,560.0285706997457,78.57480512225277,100.57240435923823,481.45376557749296,31,rolling,losing_streak_fitness,2_days,rep_1
37,2,22406,86986,86986,125287,560.0285706997457,528.5086116084829,560.0285706997457,74.27435627455819,101.87552692147952,485.7542144251876,32,rolling,losing_streak_fitness,2_days,rep_1
38,2,22406,86986,86986,125287,560.0285706997457,521.6362001347563,560.0285706997457,74.27435627455819,111.39110417744875,485.7542144251876,33,rolling,losing_streak_fitness,2_days,rep_1
39,2,22406,86986,86986,125287,560.0285706997457,530.1655825284065,560.0285706997457,74.27435627455819,100.32361476295804,485.7542144251876,34,rolling,losing_streak_fitness,2_days,rep_1
40,2,22406,86986,86986,125287,560.0285706997457,529.1408354606776,560.0285706997457,4.848732213850611,110.07006790450296,555.1798384858951,35,rolling,losing_streak_fitness,2_days,rep_1
41,2,22406,86986,86986,125287,560.0285706997457,538.6620282874225,560.0285706997457,117.57550765359254,80.15177699108352,442.4530630461532,36,rolling,losing_streak_fitness,2_days,rep_1
